property_type,district,new_sales,new_listings,sales_to_listings_ratio,inventory,months_supply,benchmark_price,yoy_price_change,mom_price_change
Detached,City Centre,159,211,75.36%,232,1.46,937600,11.38%,1.65%
Detached,North East,206,269,76.58%,209,1.01,599300,17.33%,1.16%
Detached,North,168,197,85.28%,133,0.79,683300,13.30%,0.29%
Detached,North West,173,210,82.38%,122,0.71,788700,13.17%,1.47%
Detached,West,130,169,76.92%,124,0.95,942200,12.56%,0.12%
Detached,South,271,318,85.22%,218,0.8,726800,14.19%,2.12%
Detached,South East,155,193,80.31%,135,0.87,723500,12.15%,1.94%
Detached,East,48,41,117.07%,19,0.4,519100,24.51%,0.70%
Apartment,City Centre,398,538,73.98%,572,1.44,364800,13.05%,2.93%
Apartment,North East,52,64,81.25%,44,0.85,309300,30.56%,2.69%
Apartment,North,64,59,108.47%,31,0.48,331600,23.45%,2.92%
Apartment,North West,68,90,75.56%,68,1.0,313300,19.53%,1.29%
Apartment,West,65,71,91.55%,55,0.85,355900,18.87%,2.04%
Apartment,South,94,112,83.93%,90,0.96,318200,23.19%,2.22%
Apartment,South East,68,97,70.10%,72,1.06,369600,19.96%,2.07%
Apartment,East,13,16,81.25%,16,1.23,257100,33.84%,3.13%
Semi-detached,City Centre,77,91,84.62%,98,1.27,910400,10.42%,1.80%
Semi-detached,North East,33,42,78.57%,31,0.94,432100,19.00%,0.96%
Semi-detached,North,23,27,85.19%,15,0.65,522200,12.64%,-0.17%
Semi-detached,North West,22,24,91.67%,11,0.5,652700,15.87%,2.18%
Semi-detached,West,24,23,104.35%,10,0.42,791000,11.53%,1.25%
Semi-detached,South,39,43,90.70%,18,0.46,533600,14.93%,2.30%
Semi-detached,South East,28,32,87.50%,21,0.75,515900,13.11%,2.20%
Semi-detached,East,9,11,81.82%,3,0.33,391800,22.94%,1.06%
Row,City Centre,72,75,96.00%,55,0.76,606100,15.49%,1.95%
Row,North East,72,87,82.76%,61,0.85,375200,31.60%,3.22%
Row,North,67,57,117.54%,31,0.46,434600,18.52%,2.74%
Row,North West,50,55,90.91%,31,0.62,455200,22.79%,2.32%
Row,West,43,51,84.31%,41,0.95,473300,21.64%,1.63%
Row,South,92,100,92.00%,54,0.59,409400,24.93%,1.89%
Row,South East,74,78,94.87%,55,0.74,463800,18.17%,1.60%
Row,East,12,13,92.31%,7,0.58,296700,39.62%,4.14%
