property_type,district,new_sales,new_listings,sales_to_listings_ratio,inventory,months_supply,benchmark_price,yoy_price_change,mom_price_change
Detached,City Centre,122,236,51.69%,351,2.88,957500,9.28%,0.62%
Detached,North East,126,281,44.84%,396,3.14,614300,11.13%,-0.50%
Detached,North,104,220,47.27%,302,2.9,689500,7.30%,-1.64%
Detached,North West,116,210,55.24%,270,2.33,789900,9.09%,-0.69%
Detached,West,86,171,50.29%,211,2.45,966200,9.51%,-0.26%
Detached,South,204,364,56.04%,425,2.08,731300,10.12%,-0.38%
Detached,South East,138,241,57.26%,270,1.96,718300,6.24%,-2.10%
Detached,East,41,61,67.21%,71,1.73,526900,15.14%,-1.62%
Apartment,City Centre,221,463,47.73%,782,3.54,351200,10.61%,-1.01%
Apartment,North East,39,95,41.05%,153,3.92,315400,19.74%,-0.54%
Apartment,North,32,87,36.78%,143,4.47,347800,13.92%,-0.71%
Apartment,North West,45,60,75.00%,106,2.36,321700,14.24%,-0.65%
Apartment,West,37,90,41.11%,121,3.27,370000,18.82%,1.48%
Apartment,South,64,105,60.95%,155,2.42,325300,18.12%,-0.03%
Apartment,South East,57,71,80.28%,129,2.26,373500,14.36%,0.08%
Apartment,East,7,19,36.84%,29,4.14,262600,20.24%,-0.49%
Semi-detached,City Centre,42,92,45.65%,139,3.31,931200,9.49%,0.49%
Semi-detached,North East,25,38,65.79%,48,1.92,444900,12.78%,-0.65%
Semi-detached,North,21,39,53.85%,54,2.57,527400,7.11%,-1.66%
Semi-detached,North West,11,17,64.71%,27,2.45,658400,10.56%,-0.51%
Semi-detached,West,15,27,55.56%,35,2.33,798700,7.93%,-1.60%
Semi-detached,South,35,34,102.94%,25,0.71,538100,10.79%,-0.65%
Semi-detached,South East,28,30,93.33%,30,1.07,513900,7.44%,-1.91%
Semi-detached,East,5,16,31.25%,11,2.2,402300,15.44%,-1.11%
Row,City Centre,49,86,56.98%,109,2.22,613600,8.76%,0.72%
Row,North East,51,86,59.30%,120,2.35,384700,16.29%,-1.11%
Row,North,55,102,53.92%,142,2.58,429200,8.49%,-1.51%
Row,North West,38,54,70.37%,63,1.66,457900,13.23%,1.44%
Row,West,41,61,67.21%,75,1.83,479000,10.73%,0.27%
Row,South,74,104,71.15%,106,1.43,413600,13.60%,-1.05%
Row,South East,52,89,58.43%,110,2.12,464300,9.38%,-1.74%
Row,East,12,13,92.31%,13,1.08,305400,20.14%,-1.36%
