property_type,district,new_sales,new_listings,sales_to_listings_ratio,inventory,months_supply,benchmark_price,yoy_price_change,mom_price_change
Detached,City Centre,83,137,60.58%,203,2.45,871000,10.32%,-0.46%
Detached,North East,111,131,84.73%,153,1.38,568200,18.99%,0.92%
Detached,North,108,131,82.44%,117,1.08,656200,13.79%,0.74%
Detached,North West,76,105,72.38%,90,1.18,735100,13.18%,0.07%
Detached,West,69,89,77.53%,92,1.33,890100,13.50%,3.79%
Detached,South,167,186,89.78%,167,1.0,667300,10.79%,0.41%
Detached,South East,85,129,65.89%,119,1.4,673700,10.23%,-0.04%
Detached,East,31,34,91.18%,25,0.81,493300,27.47%,2.32%
Apartment,City Centre,185,295,62.71%,378,2.04,341100,14.50%,0.09%
Apartment,North East,39,48,81.25%,44,1.13,285900,27.92%,1.89%
Apartment,North,37,43,86.05%,40,1.08,312400,22.27%,0.61%
Apartment,North West,42,53,79.25%,57,1.36,299100,21.24%,2.01%
Apartment,West,45,55,81.82%,43,0.96,335500,18.93%,1.02%
Apartment,South,81,80,101.25%,61,0.75,297000,23.90%,1.30%
Apartment,South East,48,48,100.00%,46,0.96,342700,23.23%,1.69%
Apartment,East,11,16,68.75%,13,1.18,238900,32.43%,2.23%
Semi-detached,City Centre,35,82,42.68%,106,3.03,849600,7.49%,-1.97%
Semi-detached,North East,17,27,62.96%,21,1.24,406800,20.46%,0.87%
Semi-detached,North,19,25,76.00%,17,0.89,502500,13.76%,0.88%
Semi-detached,North West,10,13,76.92%,16,1.6,614800,15.83%,3.50%
Semi-detached,West,12,17,70.59%,15,1.25,732600,10.23%,-0.70%
Semi-detached,South,23,31,74.19%,18,0.78,493900,12.71%,1.27%
Semi-detached,South East,5,14,35.71%,15,3.0,478400,10.33%,-0.29%
Semi-detached,East,9,14,64.29%,10,1.11,372900,26.84%,3.67%
Row,City Centre,35,49,71.43%,47,1.34,569200,16.95%,-1.15%
Row,North East,62,58,106.90%,50,0.81,340500,27.91%,0.62%
Row,North,50,40,125.00%,24,0.48,407300,19.09%,0.74%
Row,North West,21,21,100.00%,14,0.67,421200,21.14%,1.01%
Row,West,32,46,69.57%,36,1.13,438500,21.00%,-1.13%
Row,South,46,48,95.83%,29,0.63,376600,24.54%,0.59%
Row,South East,43,48,89.58%,42,0.98,433400,16.51%,1.74%
Row,East,7,10,70.00%,8,1.14,268200,35.25%,0.26%
