property_type,district,new_sales,new_listings,sales_to_listings_ratio,inventory,months_supply,benchmark_price,yoy_price_change,mom_price_change
Detached,City Centre,76,167,45.51%,215,2.83,954700,10.15%,0.39%
Detached,North East,83,174,47.70%,284,3.42,600700,4.89%,-0.22%
Detached,North,111,169,65.68%,190,1.71,672800,3.05%,-0.16%
Detached,North West,73,132,55.30%,134,1.84,783400,6.99%,2.71%
Detached,West,62,108,57.41%,114,1.84,964900,7.91%,-0.09%
Detached,South,144,253,56.92%,267,1.85,725000,8.88%,0.62%
Detached,South East,97,181,53.59%,181,1.87,718700,6.95%,0.07%
Detached,East,24,38,63.16%,53,2.21,526000,5.73%,-1.98%
Apartment,City Centre,151,405,37.28%,560,3.71,340500,4.03%,0.44%
Apartment,North East,34,84,40.48%,124,3.65,304400,8.06%,0.43%
Apartment,North,32,83,38.55%,123,3.84,331700,5.70%,-0.96%
Apartment,North West,33,68,48.53%,87,2.64,305300,4.41%,-0.20%
Apartment,West,32,74,43.24%,101,3.16,355300,9.86%,-1.09%
Apartment,South,53,106,50.00%,156,2.94,308300,6.24%,-2.25%
Apartment,South East,26,86,30.23%,119,4.58,355200,4.44%,-0.28%
Apartment,East,9,16,56.25%,25,2.78,253800,7.86%,0.12%
Semi-detached,City Centre,38,73,52.05%,103,2.71,926600,10.23%,-0.74%
Semi-detached,North East,20,48,41.67%,56,2.80,437900,6.23%,-0.66%
Semi-detached,North,17,20,85.00%,27,1.59,512600,2.62%,0.12%
Semi-detached,North West,16,27,59.26%,26,1.63,646300,5.26%,0.15%
Semi-detached,West,6,23,26.09%,25,4.17,781900,5.43%,-1.41%
Semi-detached,South,28,44,63.64%,38,1.36,534500,9.69%,0.11%
Semi-detached,South East,28,35,80.00%,26,0.93,519300,8.91%,0.66%
Semi-detached,East,4,4,100.00%,3,0.75,408500,7.90%,0.15%
Row,City Centre,30,63,47.62%,69,2.30,604500,5.96%,-0.26%
Row,North East,37,101,36.63%,130,3.51,360500,4.40%,-2.70%
Row,North,43,62,69.35%,89,2.07,413200,2.08%,-1.10%
Row,North West,24,39,61.54%,43,1.79,447300,8.17%,0.99%
Row,West,21,43,48.84%,56,2.67,457400,6.47%,-0.46%
Row,South,43,70,61.43%,73,1.70,396500,5.54%,-1.69%
Row,South East,41,78,52.56%,108,2.63,460600,5.86%,0.77%
Row,East,7,12,58.33%,21,3.00,305500,15.50%,-0.39%
