property_type,district,new_sales,new_listings,sales_to_listings_ratio,inventory,months_supply,benchmark_price,yoy_price_change,mom_price_change
Detached,City Centre,82,160,51.25%,261,3.18,965100,7.77%,1.09%
Detached,North East,92,191,48.17%,317,3.45,606100,3.73%,0.90%
Detached,North,110,160,68.75%,209,1.9,684700,2.82%,1.77%
Detached,North West,93,139,66.91%,156,1.68,803700,4.96%,2.59%
Detached,West,68,112,60.71%,138,2.03,962000,4.44%,-0.30%
Detached,South,189,261,72.41%,303,1.6,735900,6.48%,1.50%
Detached,South East,106,189,56.08%,241,2.27,730200,5.20%,1.60%
Detached,East,24,36,66.67%,52,2.17,525700,3.95%,-0.06%
Apartment,City Centre,188,377,49.87%,659,3.51,344800,2.86%,1.26%
Apartment,North East,27,62,43.55%,142,5.26,302100,5.30%,-0.76%
Apartment,North,44,71,61.97%,133,3.02,329700,3.16%,-0.60%
Apartment,North West,36,67,53.73%,101,2.81,308600,2.97%,1.08%
Apartment,West,44,75,58.67%,117,2.66,357100,8.08%,0.51%
Apartment,South,75,100,75.00%,153,2.04,310000,5.37%,0.55%
Apartment,South East,47,86,54.65%,140,2.98,361400,3.76%,1.75%
Apartment,East,12,14,85.71%,21,1.75,252200,5.79%,-0.63%
Semi-detached,City Centre,51,71,71.83%,101,1.98,935500,7.96%,0.96%
Semi-detached,North East,18,25,72.00%,57,3.17,447800,6.85%,2.26%
Semi-detached,North,17,30,56.67%,27,1.59,527900,3.69%,2.98%
Semi-detached,North West,18,14,128.57%,18,1.0,659100,4.07%,1.98%
Semi-detached,West,11,16,68.75%,28,2.55,795600,4.74%,1.75%
Semi-detached,South,29,49,59.18%,51,1.76,544000,8.30%,1.78%
Semi-detached,South East,19,29,65.52%,34,1.79,526400,6.93%,1.37%
Semi-detached,East,1,6,16.67%,8,8.0,407300,5.49%,-0.29%
Row,City Centre,43,58,74.14%,76,1.77,603300,2.78%,-0.20%
Row,North East,46,71,64.79%,131,2.85,368000,5.53%,2.08%
Row,North,44,74,59.46%,104,2.36,417500,1.43%,1.04%
Row,North West,33,49,67.35%,52,1.58,451200,5.25%,0.87%
Row,West,30,55,54.55%,72,2.4,457800,4.28%,0.09%
Row,South,56,79,70.89%,82,1.46,402900,4.16%,1.61%
Row,South East,52,66,78.79%,114,2.19,456100,1.83%,-0.98%
Row,East,14,17,82.35%,20,1.43,304900,12.30%,-0.20%
