property_type,district,new_sales,new_listings,sales_to_listings_ratio,inventory,months_supply,benchmark_price,yoy_price_change,mom_price_change,month,year,date
Row,North West,29,26,111.54%,48,1.66,452300,8.05%,-0.15%,11,2024,2024-11-01
Row,South,63,69,91.30%,86,1.37,408700,10.70%,-0.22%,11,2024,2024-11-01
Row,South East,50,69,72.46%,95,1.9,458200,7.31%,-1.12%,11,2024,2024-11-01
Row,West,42,39,107.69%,63,1.5,473700,6.86%,-1.09%,11,2024,2024-11-01
Semi-detached,City Centre,49,68,72.06%,129,2.63,926800,7.32%,-0.40%,11,2024,2024-11-01
Semi-detached,East,5,4,125.00%,8,1.6,409300,13.73%,1.56%,11,2024,2024-11-01
Semi-detached,North,16,28,57.14%,38,2.38,514100,3.63%,-0.94%,11,2024,2024-11-01
Semi-detached,North East,22,34,64.71%,49,2.23,439100,10.44%,-0.36%,11,2024,2024-11-01
Semi-detached,North West,15,25,60.00%,32,2.13,648500,7.26%,-0.78%,11,2024,2024-11-01
Semi-detached,South,26,26,100.00%,38,1.46,533000,9.69%,-0.65%,11,2024,2024-11-01
Semi-detached,South East,26,28,92.86%,36,1.38,516300,7.56%,-0.10%,11,2024,2024-11-01
Semi-detached,West,14,13,107.69%,26,1.86,787900,4.63%,-1.09%,11,2024,2024-11-01
Apartment,City Centre,148,131,112.98%,422,2.85,339000,3.99%,-1.42%,12,2024,2024-12-01
Apartment,East,4,9,44.44%,24,6.0,253500,10.51%,-0.94%,12,2024,2024-12-01
Apartment,North,44,34,129.41%,102,2.32,334900,7.27%,-1.41%,12,2024,2024-12-01
Apartment,North East,30,37,81.08%,118,3.93,303100,10.22%,-1.24%,12,2024,2024-12-01
Apartment,North West,28,34,82.35%,72,2.57,305900,6.40%,-3.38%,12,2024,2024-12-01
Apartment,South,52,46,113.04%,128,2.46,315400,11.02%,-1.00%,12,2024,2024-12-01
Apartment,South East,24,22,109.09%,86,3.58,356200,7.16%,-2.33%,12,2024,2024-12-01
Apartment,West,27,40,67.50%,83,3.07,359200,12.07%,-1.26%,12,2024,2024-12-01
Detached,City Centre,78,62,125.81%,174,2.23,951000,8.56%,-0.42%,12,2024,2024-12-01
Detached,East,30,34,88.24%,48,1.6,536600,11.42%,0.77%,12,2024,2024-12-01
Detached,North,84,64,131.25%,171,2.04,673900,3.61%,-0.88%,12,2024,2024-12-01
Detached,North East,99,123,80.49%,280,2.83,602000,6.42%,0.07%,12,2024,2024-12-01
Detached,North West,64,53,120.75%,102,1.59,762700,4.07%,-1.99%,12,2024,2024-12-01
Detached,South,123,101,121.78%,208,1.69,720500,8.49%,0.04%,12,2024,2024-12-01
Detached,South East,92,49,187.76%,129,1.4,718200,7.03%,0.10%,12,2024,2024-12-01
Detached,West,41,52,78.85%,99,2.41,965800,12.11%,0.33%,12,2024,2024-12-01
Row,City Centre,22,26,84.62%,51,2.32,606100,5.17%,-2.24%,12,2024,2024-12-01
Row,East,6,7,85.71%,21,3.5,306700,16.57%,-0.81%,12,2024,2024-12-01
Row,North,40,45,88.89%,83,2.08,417800,4.09%,-1.07%,12,2024,2024-12-01
Row,North East,52,50,104.00%,97,1.87,370500,9.52%,-0.51%,12,2024,2024-12-01
Row,North West,12,16,75.00%,40,3.33,442900,6.93%,-2.08%,12,2024,2024-12-01
Row,South,40,31,129.03%,57,1.43,403300,9.09%,-1.32%,12,2024,2024-12-01
Row,South East,35,48,72.92%,81,2.31,457100,7.33%,-0.24%,12,2024,2024-12-01
Row,West,21,20,105.00%,46,2.19,459500,5.27%,-3.00%,12,2024,2024-12-01
Semi-detached,City Centre,25,20,125.00%,87,3.48,933500,8.32%,0.72%,12,2024,2024-12-01
Semi-detached,East,6,2,300.00%,4,0.67,407900,12.84%,-0.34%,12,2024,2024-12-01
Semi-detached,North,9,12,75.00%,29,3.22,512000,3.04%,-0.41%,12,2024,2024-12-01
Semi-detached,North East,20,22,90.91%,37,1.85,440800,8.46%,0.39%,12,2024,2024-12-01
Semi-detached,North West,16,11,145.45%,21,1.31,645300,8.09%,-0.49%,12,2024,2024-12-01
Semi-detached,South,23,21,109.52%,29,1.26,533900,10.38%,0.17%,12,2024,2024-12-01
Semi-detached,South East,16,9,177.78%,23,1.44,515900,8.22%,-0.08%,12,2024,2024-12-01
Semi-detached,West,7,3,233.33%,13,1.86,793100,7.71%,0.66%,12,2024,2024-12-01
Apartment,City Centre,151,405,37.28%,560,3.71,340500,4.03%,0.44%,1,2025,2025-01-01
Apartment,East,9,16,56.25%,25,2.78,253800,7.86%,0.12%,1,2025,2025-01-01
Apartment,North,32,83,38.55%,123,3.84,331700,5.70%,-0.96%,1,2025,2025-01-01
Apartment,North East,34,84,40.48%,124,3.65,304400,8.06%,0.43%,1,2025,2025-01-01
Apartment,North West,33,68,48.53%,87,2.64,305300,4.41%,-0.20%,1,2025,2025-01-01
Apartment,South,53,106,50.00%,156,2.94,308300,6.24%,-2.25%,1,2025,2025-01-01
Apartment,South East,26,86,30.23%,119,4.58,355200,4.44%,-0.28%,1,2025,2025-01-01
Apartment,West,32,74,43.24%,101,3.16,355300,9.86%,-1.09%,1,2025,2025-01-01
Detached,City Centre,76,167,45.51%,215,2.83,954700,10.15%,0.39%,1,2025,2025-01-01
Detached,East,24,38,63.16%,53,2.21,526000,5.73%,-1.98%,1,2025,2025-01-01
Detached,North,111,169,65.68%,190,1.71,672800,3.05%,-0.16%,1,2025,2025-01-01
Detached,North East,83,174,47.70%,284,3.42,600700,4.89%,-0.22%,1,2025,2025-01-01
Detached,North West,73,132,55.30%,134,1.84,783400,6.99%,2.71%,1,2025,2025-01-01
